beta1,beta2,min_loss,final_loss,coupling_ratio_max,theoretical_regime,empirical_regime,stable_bound_b1,exist_bound_b1
0.02,0.02,2.1831356752130563e-241,2.1831356752130563e-241,8.82840840989029e+58,I_stable,I_stable,0.053182958969449884,0.08672488792828036
0.02,0.03959183673469388,2.9070121294889643e-241,2.9070121294889643e-241,8.698134841959424e+58,I_stable,I_stable,0.0887573316607622,0.13289343624648517
0.02,0.05918367346938776,2.8127279147849786e-241,2.8127279147849786e-241,1.2397558197624572e+59,I_stable,I_stable,0.11999176412600944,0.17085441221071906
0.02,0.07877551020408163,5.42818223101284e-241,5.42818223101284e-241,1.0638310064921793e+59,I_stable,I_stable,0.14869399108610135,0.20428878025677358
0.02,0.09836734693877551,3.206461430762538e-241,3.206461430762538e-241,1.0236178548946086e+59,I_stable,I_stable,0.17564598165422904,0.23471013804909577
0.02,0.11795918367346939,6.261200284418807e-241,6.261200284418807e-241,1.3389032191874e+59,I_stable,I_stable,0.20127916346199196,0.2629252823644016
0.02,0.13755102040816325,3.5417949430922956e-241,3.5417949430922956e-241,1.8700825877240812e+59,I_stable,I_stable,0.2258644406312193,0.2894275613209483
0.02,0.1571428571428571,3.742443154284915e-241,3.742443154284915e-241,2.462526874453605e+59,I_stable,I_stable,0.24958643848936826,0.3145459902001079
0.02,0.176734693877551,6.465890902388818e-241,6.465890902388818e-241,2.8571229988075605e+59,I_stable,I_stable,0.27257835044093476,0.3385136086233395
0.02,0.1963265306122449,3.866920000965832e-241,3.866920000965832e-241,2.8123417574358406e+59,I_stable,I_stable,0.29494038580671944,0.3615029702725009
0.02,0.21591836734693876,6.489380665083421e-241,6.489380665083421e-241,3.3753201374777654e+59,I_stable,I_stable,0.31675041368227413,0.38364628074541884
0.02,0.23551020408163262,3.5154125917757945e-241,3.5154125917757945e-241,3.1908929039275255e+59,I_stable,I_stable,0.33807051609020067,0.40504761611013695
0.02,0.25510204081632654,3.516664763949727e-241,3.516664763949727e-241,3.3428883590795425e+59,I_stable,I_stable,0.35895123321356215,0.4257907359260144
0.02,0.2746938775510204,3.728258687967726e-241,3.728258687967726e-241,3.6844557666026004e+59,I_stable,I_stable,0.3794344287204513,0.4459442950811514
0.02,0.29428571428571426,2.9791718248673484e-241,2.9791718248673484e-241,4.092530335315361e+59,I_stable,I_stable,0.39955529026532965,0.46556544382477766
0.02,0.31387755102040815,3.7202418145228126e-241,3.7202418145228126e-241,4.417640036483535e+59,I_stable,I_stable,0.41934376641984905,0.4847023882973251
0.02,0.33346938775510204,2.946128534277852e-241,2.946128534277852e-241,5.914163545124483e+59,I_stable,I_stable,0.4388256240669263,0.5033962576661685
0.02,0.35306122448979593,2.8609838846761567e-241,2.8609838846761567e-241,5.440594205739219e+59,I_stable,I_stable,0.45802324290480784,0.521682495210736
0.02,0.3726530612244898,2.8138891387489295e-241,2.8138891387489295e-241,7.352853099894034e+59,I_stable,I_stable,0.4769562233715155,0.5395919143211331
