regime,theoretical_regime,beta1,beta2,stable_bound,exist_bound,min_loss,final_loss,spike_ratio,tail_coupling_ratio,steps
I_stable,I_stable,0.9,0.93,0.93,0.9470266737385726,0.0,0.0,0.0,0.003458498023715415,100000
II_spike,II_spike,0.94,0.93,0.93,0.9470266737385726,1.6916745903278437e-33,1.477901812194332e-17,8736324471882722.0,9.531179202483008,100000
III_signgd,III_signgd,0.99,0.93,0.93,0.9470266737385726,7.1719776149347385e-31,9.601974988255078e-12,1.3388183153639766e+19,3.2818133705425114,100000
