degree,fitted_steps_per_log_precision,analytic_steps_per_log_precision,relative_slope_error,fit_r2,analytic_x_ratio,steps_to_1e-20
4,55.11394381934949,55.11866903494575,8.572804240376117e-05,0.9999998729907293,0.9820209142881304,3384
6,110.23578390200633,110.2373380698915,1.4098380026097414e-05,0.9999999692142817,0.9909696838390821,5818
8,165.35762398466315,165.35600710483726,9.778174099618623e-06,0.9999999893110247,0.9939706919338731,8274
10,220.47551593566632,220.474676139783,3.809035568221842e-06,0.9999999932658652,0.995474602307403,10745
