degree,epsilon,adam_steps,gradient_flow_time
4,0.0001,1354,49999999.49999999
4,1e-06,1608,499999999999.50006
4,1e-08,1861,5000000000000000.0
4,1e-10,2115,5e+19
4,1e-12,2369,5e+23
4,1e-14,2623,5e+27
4,1e-16,2877,5e+31
4,1e-18,3131,4.9999999999999995e+35
4,1e-20,3384,5.000000000000001e+39
4,1e-22,3638,4.999999999999999e+43
4,1e-24,3892,5.000000000000001e+47
6,0.0001,1757,2499999999999999.0
6,1e-06,2264,2.5000000000000003e+23
6,1e-08,2772,2.4999999999999997e+31
6,1e-10,3280,2.4999999999999998e+39
6,1e-12,3787,2.5e+47
6,1e-14,4295,2.5e+55
6,1e-16,4803,2.5e+63
6,1e-18,5310,2.4999999999999994e+71
6,1e-20,5818,2.5000000000000007e+79
6,1e-22,6326,2.4999999999999995e+87
6,1e-24,6833,2.5000000000000007e+95
8,0.0001,2182,1.6666666666666663e+23
8,1e-06,2944,1.6666666666666674e+35
8,1e-08,3705,1.6666666666666664e+47
8,1e-10,4467,1.6666666666666663e+59
8,1e-12,5228,1.666666666666667e+71
8,1e-14,5990,1.6666666666666669e+83
8,1e-16,6751,1.666666666666667e+95
8,1e-18,7513,1.666666666666666e+107
8,1e-20,8274,1.666666666666667e+119
8,1e-22,9036,1.6666666666666662e+131
8,1e-24,9797,1.6666666666666676e+143
10,0.0001,2623,1.2499999999999996e+31
10,1e-06,3638,1.2500000000000005e+47
10,1e-08,4653,1.2499999999999998e+63
10,1e-10,5669,1.2499999999999997e+79
10,1e-12,6684,1.2500000000000002e+95
10,1e-14,7699,1.25e+111
10,1e-16,8715,1.25e+127
10,1e-18,9730,1.2499999999999994e+143
10,1e-20,10745,1.2500000000000006e+159
10,1e-22,11761,1.2499999999999995e+175
10,1e-24,12776,1.2500000000000007e+191
