beta1,beta2,min_loss,final_loss,coupling_ratio_max,theoretical_regime,empirical_regime,stable_bound_b1,exist_bound_b1
0.02,0.43142857142857144,1.6255e-320,1.6255e-320,9.137877450965032e+101,I_stable,I_stable,0.43142857142857144,0.5323309012057498
0.02,0.4510204081632653,1.984e-320,1.984e-320,1.3818172808530695e+102,I_stable,I_stable,0.4510204081632653,0.5503603589627031
0.02,0.47061224489795916,1.594e-320,1.594e-320,1.2907837855737523e+102,I_stable,I_stable,0.47061224489795916,0.5681950124246583
0.02,0.49020408163265305,1.9224e-320,1.9224e-320,1.490476828228504e+102,I_stable,I_stable,0.49020408163265305,0.5858449522056745
0.02,0.509795918367347,0.0,0.0,1.8566690599249896e+102,I_stable,I_stable,0.509795918367347,0.6033193653210811
0.02,0.5293877551020408,0.0,0.0,2.200911818954298e+102,I_stable,I_stable,0.5293877551020408,0.6206266476163069
0.02,0.5489795918367347,0.0,0.0,2.2065856864755103e+102,I_stable,I_stable,0.5489795918367347,0.6377744985737119
0.02,0.5685714285714285,0.0,0.0,2.222870558450788e+102,I_stable,I_stable,0.5685714285714285,0.654770001788624
0.02,0.5881632653061224,0.0,0.0,2.515815328769544e+102,I_stable,I_stable,0.5881632653061224,0.6716196936990277
0.02,0.6077551020408163,0.0,0.0,3.382633794466338e+102,I_stable,I_stable,0.6077551020408163,0.6883296226168335
0.02,0.6273469387755102,0.0,0.0,3.4006451711903665e+102,I_stable,I_stable,0.6273469387755102,0.7049053996971941
0.02,0.6469387755102041,0.0,0.0,4.1439194629913013e+102,I_stable,I_stable,0.6469387755102041,0.7213522431638066
0.02,0.666530612244898,0.0,0.0,4.556185266132293e+102,I_stable,I_stable,0.666530612244898,0.7376750168593522
0.02,0.6861224489795918,0.0,0.0,4.987083434679246e+102,I_stable,I_stable,0.6861224489795918,0.753878263994344
0.02,0.7057142857142857,0.0,0.0,6.470540156701711e+102,I_stable,I_stable,0.7057142857142857,0.7699662368122037
0.02,0.7253061224489796,0.0,0.0,7.424014896813822e+102,I_stable,I_stable,0.7253061224489796,0.785942922764163
0.02,0.7448979591836734,0.0,0.0,8.482188518032724e+102,I_stable,I_stable,0.7448979591836734,0.8018120676876266
0.02,0.7644897959183673,0.0,0.0,1.0344468882030927e+103,I_stable,I_stable,0.7644897959183673,0.8175771964006852
0.02,0.7840816326530612,0.0,0.0,1.3018135409068745e+103,I_stable,I_stable,0.7840816326530612,0.8332416310595315
0.02,0.8036734693877551,0.0,0.0,1.570085382767544e+103,I_stable,I_stable,0.8036734693877551,0.8488085075715106
0.02,0.823265306122449,0.0,0.0,1.950559341654658e+103,I_stable,I_stable,0.823265306122449,0.8642807903120353
0.02,0.8428571428571429,0.0,0.0,2.565097762637513e+103,I_stable,I_stable,0.8428571428571429,0.8796612853567701
0.02,0.8624489795918368,0.0,0.0,3.4582701451988082e+103,I_stable,I_stable,0.8624489795918368,0.8949526524098372
0.02,0.8820408163265305,0.0,0.0,4.8641308971100675e+103,I_stable,I_stable,0.8820408163265305,0.910157415583198
0.02,0.9016326530612244,0.0,0.0,6.909994845090232e+103,I_stable,I_stable,0.9016326530612244,0.9252779731608697
0.02,0.9212244897959183,0.0,0.0,1.1181452708535172e+104,I_stable,I_stable,0.9212244897959183,0.9403166064635249
0.02,0.9408163265306122,0.0,0.0,1.996472996481904e+104,I_stable,I_stable,0.9408163265306122,0.9552754879136958
0.02,0.9604081632653061,0.0,0.0,4.564703778426591e+104,I_stable,I_stable,0.9604081632653061,0.9701566883887878
0.02,0.98,0.0,0.0,1.8244808191630873e+105,I_stable,I_stable,0.98,0.9849621839380145
0.03959183673469388,0.02,2.4379675336786273e-18,1.1381302195901402e-14,432828.0418735418,II_spike,II_spike,0.02,0.053182958969449884
0.03959183673469388,0.03959183673469388,1.564e-320,1.564e-320,1.2842808196261521e+101,I_stable,I_stable,0.03959183673469388,0.0887573316607622
0.03959183673469388,0.05918367346938776,8.3e-321,8.3e-321,1.5597651513919297e+101,I_stable,I_stable,0.05918367346938776,0.11999176412600944
